Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7082,2112833,SPG240,WORKING,20001171475,2024-04-22,YES,US,YES,113.36831220471352
MB 7082,2113193,SPG240,WORKING,20001171540,2024-04-24,YES,US,YES,112.4609423403688
MB 7082,2099673,SPG240,WORKING,20001171477,2024-04-22,YES,US,YES,112.42054418303745
MB 7082,2113051,SPG240,WORKING,20001171538,2024-04-24,YES,US,YES,111.41183286249176
MB 7082,2099493,SPG240,WORKING,20001171478,2024-04-22,YES,US,YES,111.29089248262693
MB 7082,2086298,SPG240,WORKING,20001171476,2024-04-22,YES,US,YES,111.07077321253185
MB 7082,2099670,SPG240,WORKING,20001171479,2024-04-22,YES,US,YES,110.96310606698276
MB 7082,2066066,SPG240,WORKING,20001171482,2024-04-22,YES,US,YES,110.56393098782071
MB 7082,2099512,SPG240,WORKING,20001171481,2024-04-22,YES,US,YES,110.46036540273897
MB 7082,2104408,SPG240,WORKING,20001171480,2024-04-22,YES,US,YES,110.36655867620053
MB 7082,2099939,SPG240,WORKING,20001171484,2024-04-22,YES,US,YES,110.33632923185363
