Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
High Desert,162,150,108,118,61,125.2319416,3/16/1949,125.2334682,0.001526516,201912,7.685714286,1.541211867,0,0,45,42,93.33333333,51.69491525,0,0,3,3,3,3,12,12,1,2019,March
MB 7081,219,220,99.54545455,117,108,124.0657817,3/16/1949,124.1056113,0.039829584,201912,8.069364162,2.819334853,0,0,100,87,87,92.30769231,0,0,3,3,2,2,10,12,1,2019,March
MB 7082,217,220,98.63636364,118,106,124.1614408,3/16/1949,124.1799904,0.018549604,201912,7.328282828,1.799127843,0,0,102,89,87.25490196,89.83050847,0,0,3,3,3,2,11,12,1,2019,March
MB 7092,576,600,96,576,562,123.7107221,3/16/1949,123.7613581,0.050636022,201912,5.47311828,1.726910658,0,0,190,186,97.89473684,97.56944444,0,0,3,2,2,3,10,12,1,2019,March
MB 7093,447,500,89.4,449,449,123.5679994,3/16/1949,123.5679994,0,201912,4.841870824,0.965675222,0,0,90,88,97.77777778,100,0,0,2,3,1,3,9,12,1,2019,March
MBW Cimarron,202,200,101,164,125,124.3250035,3/16/1949,124.432764,0.107760484,201912,6.982142857,1.118559886,0,0,80,70,87.5,76.2195122,0,0,3,1,3,2,9,12,1,2019,March
MBW Cyclone,191,200,95.5,175,172,124.2375707,3/16/1949,124.2690916,0.031520947,201912,7.021390374,0.528308513,0,0,99,76,76.76767677,98.28571429,0,0,3,3,3,1,10,12,1,2019,March
MBW Illinois,33,40,82.5,24,21,233.9561998,3/16/1949,235.3355712,1.379371451,201912,6.827586207,1.071346466,0,0,30,19,63.33333333,87.5,0,0,1,0,3,0,4,12,1,2019,March
MBW Yuma,192,210,91.42857143,163,114,124.3969064,3/16/1949,124.4600486,0.063142241,201912,6.577142857,1.209893534,0,0,39,37,94.87179487,69.93865031,0,0,3,2,3,3,11,12,1,2019,March
Princeton,437,428,102.1028037,402,329,124.4407062,3/16/1949,124.5584206,0.117714449,201912,7.927027027,2.399768355,0,0,167,61,36.52694611,81.84079602,0,0,3,1,3,0,7,12,1,2019,March
Skyline Boar Stud,382,365,104.6575342,325,204,123.6796264,3/16/1949,124.159322,0.479695585,201912,7.930041152,2.078829434,0,0,96,15,15.625,62.76923077,0,0,3,0,3,0,6,12,1,2019,March
SPGVA,272,292,93.15068493,98,77,126.0829444,3/16/1949,126.5295253,0.446580904,201912,7.886486486,3.870608463,0,0,115,25,21.73913043,78.57142857,0,0,3,0,3,0,6,12,1,2019,March
SPGNC,219,220,99.54545455,90,50,126.8461086,3/16/1949,127.109781,0.263672403,201912,8.576271186,3.314242971,0,0,118,107,90.6779661,55.55555556,0,0,3,0,2,3,8,12,1,2019,March
High Desert,146,150,97.33333333,107,56,125.4064874,3/23/1949,125.4064874,0,201913,7.77443609,1.197323665,0,0,45,42,93.33333333,52.3364486,0,0,3,3,3,3,12,13,1,2019,March
MB 7081,219,220,99.54545455,129,106,124.1706059,3/23/1949,124.3301664,0.159560491,201913,7.802259887,2.742840987,0,0,123,98,79.67479675,82.17054264,0,0,3,0,3,1,7,13,1,2019,March
MB 7082,217,220,98.63636364,118,102,124.1604263,3/23/1949,124.199831,0.03940468,201913,7.427083333,1.255311577,0,0,102,89,87.25490196,86.44067797,0,0,3,3,3,2,11,13,1,2019,March
MB 7092,574,600,95.66666667,575,571,123.6929861,3/23/1949,123.7034524,0.010466316,201913,5.420577617,1.799641021,0,0,190,186,97.89473684,99.30434783,0,0,3,3,2,3,11,13,1,2019,March
MB 7093,447,500,89.4,447,444,123.5265043,3/23/1949,123.5521515,0.025647235,201913,4.619369369,0.912260882,0,0,90,88,97.77777778,99.32885906,0,0,2,3,1,3,9,13,1,2019,March
MBW Cimarron,197,200,98.5,159,106,124.5406451,3/23/1949,124.6377296,0.097084551,201913,7.362694301,1.774547183,0,0,80,70,87.5,66.66666667,0,0,3,2,3,2,10,13,1,2019,March
